CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DISTRIBUIDORA;DATAVINCULACAO;CLASSE
1184135;GLP/GO0213809;09/03/2012;COML. DOM BOSCO DE SECOS E MOLHADOS LTDA;24995540000110;AV.CENTRAL Q.O-1 LT.10,  S/N;;VILA PEDROSO;74770050;GO;GOIANIA;INDEPENDENTE;05/05/2016;1 AREA  - Classe I - NBR 15514
1185688;GLP/RS0214573;17/04/2012;SUPERMERCADO FREESE LTDA.;95073011000108;RUA COROADOS,  1349;;CENTRO;98500000;RS;TENENTE PORTELA;INDEPENDENTE;12/03/2021;1 AREA  - Classe I - NBR 15514
1189511;GLP/RS0216572;08/08/2012;SCARIOT & CARESIA LTDA;15322553000138;RUA JULIO GOLIN,  692;;CENTRO;99600000;RS;NONOAI;ULTRAGAZ;15/06/2023;1 AREA  - Classe III - NBR 15514
1011537;GLP/MG0213504;15/02/2012;AUTO POSTO CARVALHOPOLIS LTDA;04331512000191;RUA ANTONIO CANDIDO DE CARVALHO,  430;;CENTRO;37760000;MG;CARVALHOPOLIS;SUPERGASBRAS ENERGIA;10/01/2012;1 AREA  - Classe II - NBR 15514
1185705;GLP/PR0214591;17/04/2012;RODRIGO S. ROCHA COMERCIO DE GAS;14243686000156;RUA SAO CRISTOVAO,  562;;CENTRO;83860000;PR;PIEN;NACIONAL GAS BUTANO;28/05/2025;1 AREA  - Classe IV - NBR 15514
1185407;GLP/RN0214446;09/04/2012;LENILSON AGOSTINHO;24586521000130;RUA HERONIDES SOARES BENTO,  352;;CENTRO;59227000;RN;LAGOA D'ANTA;NACIONAL GAS BUTANO;12/03/2012;1 AREA  - Classe III - NBR 15514
1189560;GLP/RS0216683;08/08/2012;PONTO UTIL COMERCIAL ANTUNES LTDA ME;95029542000101;AV VINTE DE MARÇO,  S/N;;CENTRO;98320000;RS;LAJEADO DO BUGRE;LIQUIGAS;02/07/2012;1 AREA  - Classe I - NBR 15514
1176898;GLP/SC0209935;23/08/2011;GABRIEL VALBERTO GESSER EPP.;01209449000127;RUA WILLY SCHOROEDER,  408;;CENTRO;89182000;SC;LONTRAS;ULTRAGAZ;16/11/2017;1 AREA  - Classe I - NBR 15514
1199351;GLP/PA0221716;06/08/2013;J AGUIAR E C RIBEIRO LTDA;16846570000137;ESTRADA VELHA DO OUTEIRO,  1598;;CAMPINA DE ICOARACI (ICOARACI);66813250;PA;BELEM;NACIONAL GAS BUTANO;02/03/2018;1 AREA  - Classe III - NBR 15514
1230488;GLP/SC0238025;11/01/2017;GHELEN COMERCIO DE GAS LTDA;22938338000121;RUA CANDIDO PORTINARI,  475E;;BELA VISTA;89804220;SC;CHAPECO;ULTRAGAZ;11/01/2017;1 AREA  - Classe IV - NBR 15514
1201669;GLP/MA0223070;30/10/2013;J A FURTADO SILVA E CIA LTDA;06329381000486;RUA VOLUNTARIOS DA PATRIA,  10;;TUPI;65235000;MA;SAO BENTO;NACIONAL GAS BUTANO;16/08/2013;1 AREA  - Classe III - NBR 15514
1200673;GLP/MT0222467;16/09/2013;E. C. SILVA COMERCIO DE GAS - ME;17994447000126;RUA  DA GUAZUMAS,  102;;PARQUE DAS ARARAS;78550480;MT;SINOP;COPA ENERGIA;06/08/2013;1 AREA  - Classe I - NBR 15514
1193628;GLP/PI0218833;03/01/2013;GIOVANNI SILVA QUEIROZ - ME;63346779000200;RUA DOMINGOS ALMEIDA,  220;;BRANCAS;64245000;PI;SAO JOSE DO DIVINO;NACIONAL GAS BUTANO;19/11/2012;1 AREA  - Classe III - NBR 15514
1207226;GLP/SP0225902;30/06/2014;JOSE DIVANILDO DE MENEZES SOUZA;09098541000179;AVENIDA SAO JOAO,  1910;LOJA  B;PARQUE DAS NACOES;12944376;SP;ATIBAIA;ULTRAGAZ;12/12/2023;1 AREA  - Classe IV - NBR 15514
1208903;GLP/CE0226683;03/09/2014;NOSSO GAS COMERCIO DE GLP LTDA;20009203000156;RUA MIGUEL MATIAS NETO,  100;;PLANALTO DA CATUMBELA;62900000;CE;RUSSAS;SUPERGASBRAS ENERGIA;29/03/2023;1 AREA  - Classe IV - NBR 15514
1202987;GLP/CE0223783;16/12/2013;MARIA SOCORRO CAMPOS MERCEARIA - ME;02197816000182;AV. DR. EPITÁCIO DE PINHO,  86;;CENTRO;62220000;CE;PORANGA;LIQUIGAS;06/09/2013;1 AREA  - Classe II - NBR 15514
1202953;GLP/ES0223748;16/12/2013;CHAME GAS COMERCIO DE GAS LTDA;17651922000161;RODOVIA DO SOL,  715;KM: 29 ;RECANTO DA SEREIA;29227100;ES;GUARAPARI;ULTRAGAZ;29/08/2025;2 AREAS - Classe II - NBR 15514
1223602;GLP/RS0234229;19/05/2016;DIOGO BENEDETTI SCHERER - ME;13602997000100;AV. PRESIDENTE CASTELO BRANCO,  869;SL 02;CENTRO;98640000;RS;CRISSIUMAL;ULTRAGAZ;22/08/2014;1 AREA  - Classe III - NBR 15514
1207707;GLP/MG0226129;21/07/2014;DISK GAS COMERCIO LTDA;19749997000105;AVENIDA JOSE BERNARDO DE BARROS,  196;;CASCALHO;34002339;MG;NOVA LIMA;INDEPENDENTE;13/10/2020;1 AREA  - Classe IV - NBR 15514
1041264;GLP/GO0232208;22/12/2015;AUTO POSTO BENFICA LTDA.;06226812000136;RODOVIA GO 222 ANÁPOLIS NERÓPOLIS,  S/N;KM 03 A ESQUERDA;ZONA RURAL;75145010;GO;ANAPOLIS;LIQUIGAS;28/08/2018;1 AREA  - Classe I - NBR 15514
1214560;GLP/TO0229312;07/05/2015;NN DISTRIBUIDORA DE GAS LTDA;08240771000753;AVENIDA TOCANTINS,  S/N;LOTE  24                  QUADRA34;CENTRO (TAQUARALTO);77064580;TO;PALMAS;ULTRAGAZ;28/01/2022;1 AREA  - Classe V - NBR 15514
